video_id,comment
qlZM3McwO1Q,❤❤❤❤❤
qlZM3McwO1Q,Something remarkable and astonishing. Good luck with good health 👍🤞.
qlZM3McwO1Q,Watching from Trinidad ruthing for the Kenyan's❤🎉🎉
qlZM3McwO1Q,Fill the gapp:Africans without Kenya 🇰🇪is...
qlZM3McwO1Q,Am a happy soul seeing Kenyan flag 🇰🇪 flying high ❤ congratulations 🎈 gals
qlZM3McwO1Q,"Kenya is blessed in sprinting 
A like 👍"
qlZM3McwO1Q,They do have bodies that just won't quit
qlZM3McwO1Q,Kenya has all  kinds of exceptional athletes. Congratulations girls.
qlZM3McwO1Q,"Beautiful, Awesome.  Congratulations Kenya"
qlZM3McwO1Q,My country🇰🇪🇰🇪🇰🇪 ♥️♥️♥️ Daima mimi mkenya🇰🇪✌️
qlZM3McwO1Q,Awesome
qlZM3McwO1Q,Big up
qlZM3McwO1Q,Good job!!!
qlZM3McwO1Q,And the black wins❤❤❤❤ proud to be a Kenyan!!
qlZM3McwO1Q,black is the power
qlZM3McwO1Q,"Vive l'Afrique !!!! 
L'Afrique  est le continent le plus riche et plus intelligent  !!!!!"
qlZM3McwO1Q,People should just give up on running against kenya on long stretches.😂😂😂😂😂😂plz kiv up... Wantam all the days... RUTO must go.
qlZM3McwO1Q,Kenya against the clock not fellow athletes 😂😂😂😂😂🇰🇪🇰🇪🇰🇪🇰🇪
qlZM3McwO1Q,Congratulations ❤❤
qlZM3McwO1Q,Kenya 🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪❤❤❤❤❤❤❤❤❤
qlZM3McwO1Q,"If I'm reading correctly, the Kenyans went 13:40.40 for the 5000m, a full thirty seconds under the women's individual world record at the time (Tirunesh Dibaba at 14:11.15 in 2008), and about 18 seconds under the newly set WR (Beatrice Chebet at 13:58.06 on July 5, 2025).  The Americans, in second place, were under what the individual WR was at the time, but I don't believe they were under Chebet's time.  Amazing progression."
qlZM3McwO1Q,The end of this video is very disappointing..... 😢😢😢😢
qlZM3McwO1Q,What do they eat in Kenya for them to run fast like this
qlZM3McwO1Q,🎉🎉🎉 Kenya🇰🇪♥️♥️♥️
qlZM3McwO1Q,Congratulations team Kenya. Africa is proud of you
qlZM3McwO1Q,🎉😂😊
qlZM3McwO1Q,"What a run, new world record for Kenya. Well done USA for second. And for third Australia, my home country. All Kenya tho', the rest have a lot of catching up to do. Kenya had four classy runners here in a league of their own"
qlZM3McwO1Q,Wowwww
qlZM3McwO1Q,God gave us everything ❤❤❤❤ bravo Kenya 🙏🏾
qlZM3McwO1Q,"IS THERE A NY "" GREAT WHITE HOPES.. LEFT??.. . NOOOOO!! NOT RUNNING AGAINST TRUE BRONZE BEAUTY!! THE POWER IS IN THE  BEAUTIFUL SKIN!! 😅😅
SIMPLY PUT!!😂😂😂😂🤎🤎🤎🤎🤎🤎🤎🤎🤎🖤🖤🖤🤎🤎🤎🤎😝😝😝😝😝😝😝🤎🤎🤎👑👑👑👑👑👑👑👑👑🖤🖤🖤🖤👑👑👑👑👑👑👑TRUE AFRICAN QUEENS👑👑👑👑🖤🖤🤎🤎🤎👑👑👑👑"
qlZM3McwO1Q,Keyans much love from Ghana 🇬🇭 ❤❤
qlZM3McwO1Q,Congratulations Kenyans.... We love you girls
qlZM3McwO1Q,Alafu msichana wa watu akishakimbia hivi boyfriend muhuni anamuua..... Stupid
qlZM3McwO1Q,Wow they were just way too good for the rest
qlZM3McwO1Q,Kenya my pride....🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪 Congratulations our girls
qlZM3McwO1Q,"Am a proud to be a Kenyan,wakisii wote gonga hii like tukizonga🎉🎉🎉Obiri is my favorite gal from kisii land."
qlZM3McwO1Q,"Not the fastest race ever.  A true measure is drawn from an open race with no fantasy  B-team sub-category fiddles.  Men will always be the fastest runners of any open race, women will not."
qlZM3McwO1Q,"But they end with Australians....
typical. 😂"
qlZM3McwO1Q,Martinez ponytail shows you are rhythm love her stride❤❤❤❤😊
qlZM3McwO1Q,S4 run baby like the world is behind u coming for you! Beautiful form❤❤❤❤🎉
qlZM3McwO1Q,All the racist remarks ever said about Kenyans never stopped them from...um winning and participating.❤❤❤❤ they are focused on economics...😂❤🎉
qlZM3McwO1Q,Congrats
qlZM3McwO1Q,S3....babeeee❤❤❤😂🎉🎉
qlZM3McwO1Q,S2 beautiful run❤❤❤
qlZM3McwO1Q,Sister one had them double stepping to keep up😂😂😂😅❤❤❤🎉🎉🎉
qlZM3McwO1Q,Girl in front tired...sister's stride is golden❤❤❤❤🎉🎉🎉😂😂😂
qlZM3McwO1Q,This why they dont like us in stuff we dominate!
qlZM3McwO1Q,Am proud to be a kenyan
qlZM3McwO1Q,"Go Kenyans, you Dominated that race. Awesome strides and pace❤"
qlZM3McwO1Q,From USA Philadelphia
qlZM3McwO1Q,😂😂😂😂Kenyan 🇰🇪 congratulations in sports you are doing OK but  in politics you are gradually going back word❤❤
qlZM3McwO1Q,".. keep talking about pedigree??
..i thought for a second.... Westminster..
.. where's best of show..?!😮😢😂😊"
qlZM3McwO1Q,👏🏻👏🏻👏🏻👏🏻👏🏻🇰🇪💪💪💪
qlZM3McwO1Q,"I can't help but notice childish racists and nationalists are showing up in full force, celebrating their particular race and nationality  instead of individual achievement.  Here's a hint.  If a person from a particular country and of a particular race wins a track meet, honor should go to the athlete who put in the work, not the race or nation from which she or he originates.   Grow up y'all."
qlZM3McwO1Q,"Viva👍👍🥳🥳🥳🥳 to the Kenyan gals congratulations.we see how you smash the long distance races,  and we celebrate you 📢"
qlZM3McwO1Q,Go go african queens. We love u all
qlZM3McwO1Q,Bravo Kenya ❤🎉
qlZM3McwO1Q,😂😂😂❤❤❤❤🎉🎉🎉
qlZM3McwO1Q,USA / CUANDO GANA  GANA CON SANGRE DE AFRICA!
